overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdP	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
0.35	an astronaut	a convict	79	random	1	169	1	unidentified	impersonal	k	Yes	8.19478163844336	N/A	-1	0.175218045112782	0.0339296475350126	0.350436090225564	1	1	TRUE	0.649563909774436	1	0.357072943104038	7.83770869533932	0.35
0.35	a homeless adult	a gang member	79	random	1	91	1	strangle	impersonal	k	Yes	8.3959291039232	N/A	-1	0.160920634920635	0.0318311457321075	0.32184126984127	1	1	TRUE	0.67815873015873	1	0.38529178679784	8.01063731712536	0.35
0.35	a homeless adult	a gang member	79	random	1	6	1	unidentified	personal	k	Yes	7.74673290775362	N/A	-1	0.160920634920635	0.0318311457321075	0.32184126984127	1	1	TRUE	0.67815873015873	1	-0.456699541265851	8.20343244901947	0.35
0.35	an olympian	a convict	79	random	1	71	1	unidentified	impersonal	k	Yes	7.74630066223144	N/A	-1	0.189569105691057	0.0360981333958361	0.379138211382114	1	1	TRUE	0.620861788617886	1	-0.309288582435203	8.05558924466664	0.35
0.35	a judge	a thief	79	random	1	121	1	strangle	personal	d	No	7.74802852443238	N/A	-1	0.827621848739496	0.0340561759999284	0.344756302521008	1	0	TRUE	0.655243697478992	0	-0.195650791396414	7.94367931582879	0.35
0.35	an addict	a soldier	79	random	1	163	1	strangle	impersonal	d	No	8.03495502450216	N/A	-1	0.81148717948718	0.0363332669184672	0.377025641025641	-1	1	FALSE	-0.622974358974359	1	0.184077701410837	7.85087732309132	0.35
0.45	a judge	a convict	79	random	1	4	1	strangle	personal	k	Yes	8.786456678344	N/A	-1	0.201325581395349	0.0345531512140384	0.402651162790698	1	1	TRUE	0.597348837209302	1	0.578432432270127	8.20802424607387	0.45
0.45	a celebrity	an assassin	79	random	1	141	1	unidentified	impersonal	k	Yes	7.54538974961182	N/A	-1	0.797811965811966	0.0356821925988365	0.404376068376068	1	1	TRUE	0.595623931623932	1	-0.353962120244875	7.8993518698567	0.45
0.45	an astronaut	an addict	79	random	1	135	1	unidentified	impersonal	k	Yes	8.55043452519604	N/A	-1	0.241107438016529	0.0378334440471577	0.482214876033058	1	1	TRUE	0.517785123966942	1	0.637810457009481	7.91262406818656	0.45
0.45	a congressman	an assassin	79	random	1	102	1	strangle	impersonal	k	Yes	8.15679704667565	N/A	-1	0.767817391304348	0.0394308863049614	0.464365217391304	1	1	TRUE	0.535634782608696	1	0.17077627884647	7.98602076782918	0.45
0.45	a billionaire	a gang member	79	random	1	101	1	strangle	personal	d	No	7.88645727097769	N/A	-1	0.777558558558559	0.0391994927445522	0.444882882882883	1	0	TRUE	0.555117117117117	0	-0.101798235593496	7.98825550657119	0.45
0.45	an addict	an adult	79	random	1	72	1	unidentified	personal	d	No	8.09101504171053	N/A	-1	0.218608695652174	0.0385640831832313	0.437217391304348	-1	1	FALSE	-0.562782608695652	1	0.0376793726036482	8.05333566910688	0.45
0.45	a convict	a judge	79	random	1	7	1	unidentified	impersonal	d	No	8.13768818497761	N/A	-1	0.201325581395349	0.0345531512140384	0.402651162790698	-1	1	FALSE	-0.597348837209302	1	-0.0634493288966222	8.20113751387423	0.45
0.45	a thief	a rapist	79	random	1	115	1	strangle	personal	k	Yes	8.19229373114764	N/A	-1	0.230256	0.0376549646177016	0.460512	1	1	TRUE	0.539488	1	0.235267739656661	7.95702599149098	0.45
